DATE (YYYY-MM-DD),TEMP (degree_Celsius),LATITUDE (degree_north),LONGITUDE (degree_east)
2020-07-01,13.2,49.1682948,-125.9495351
2020-07-02,13.8,49.1682948,-125.9495351
2020-07-03,13.8,49.1682948,-125.9495351
2020-07-04,14.0,49.1682948,-125.9495351
2020-07-05,14.3,49.1682948,-125.9495351
2020-07-06,14.2,49.1682948,-125.9495351
2020-07-07,14.6,49.1682948,-125.9495351
2020-07-08,14.7,49.1682948,-125.9495351
2020-07-09,13.3,49.1682948,-125.9495351
2020-07-10,13.4,49.1682948,-125.9495351
2020-07-11,13.5,49.1682948,-125.9495351
2020-07-12,14.4,49.1682948,-125.9495351
2020-07-13,14.1,49.1682948,-125.9495351
2020-07-14,14.6,49.1682948,-125.9495351
2020-07-15,14.7,49.1682948,-125.9495351
2020-07-16,14.1,49.1682948,-125.9495351
2020-07-17,14.2,49.1682948,-125.9495351
2020-07-18,13.4,49.1682948,-125.9495351
2020-07-19,14.4,49.1682948,-125.9495351
2020-07-20,13.9,49.1682948,-125.9495351
2020-07-21,14.3,49.1682948,-125.9495351
2020-07-22,13.8,49.1682948,-125.9495351
2020-07-23,14.3,49.1682948,-125.9495351
2020-07-24,13.5,49.1682948,-125.9495351
2020-07-25,13.8,49.1682948,-125.9495351
2020-07-26,14.1,49.1682948,-125.9495351
2020-07-27,13.4,49.1682948,-125.9495351
2020-07-28,13.8,49.1682948,-125.9495351
2020-07-29,14.1,49.1682948,-125.9495351
2020-07-30,13.6,49.1682948,-125.9495351
2020-07-31,13.3,49.1682948,-125.9495351
2020-08-01,14.8,49.1682948,-125.9495351
2020-08-02,15.6,49.1682948,-125.9495351
2020-08-03,14.5,49.1682948,-125.9495351
2020-08-04,15.2,49.1682948,-125.9495351
2020-08-05,15.7,49.1682948,-125.9495351
2020-08-06,15.5,49.1682948,-125.9495351
2020-08-07,15.5,49.1682948,-125.9495351
2020-08-08,15.1,49.1682948,-125.9495351
2020-08-09,14.9,49.1682948,-125.9495351
2020-08-10,14.7,49.1682948,-125.9495351
2020-08-11,15.1,49.1682948,-125.9495351
2020-08-12,15.7,49.1682948,-125.9495351
2020-08-13,15.4,49.1682948,-125.9495351
2020-08-14,14.5,49.1682948,-125.9495351
2020-08-15,14.6,49.1682948,-125.9495351
2020-08-16,14.6,49.1682948,-125.9495351
2020-08-17,15.2,49.1682948,-125.9495351
2020-08-18,14.4,49.1682948,-125.9495351
2020-08-19,15.7,49.1682948,-125.9495351
2020-08-20,15.0,49.1682948,-125.9495351
2020-08-21,15.4,49.1682948,-125.9495351
2020-08-22,14.8,49.1682948,-125.9495351
2020-08-23,14.8,49.1682948,-125.9495351
2020-08-24,15.0,49.1682948,-125.9495351
2020-08-25,15.3,49.1682948,-125.9495351
2020-08-26,14.7,49.1682948,-125.9495351
2020-08-27,14.4,49.1682948,-125.9495351
2020-08-28,15.0,49.1682948,-125.9495351
2020-08-29,14.5,49.1682948,-125.9495351
2020-08-30,15.2,49.1682948,-125.9495351
2020-08-31,15.4,49.1682948,-125.9495351
2020-09-01,14.5,49.1682948,-125.9495351
2020-09-02,14.2,49.1682948,-125.9495351
2020-09-03,14.6,49.1682948,-125.9495351
2020-09-04,14.5,49.1682948,-125.9495351
2020-09-05,13.7,49.1682948,-125.9495351
2020-09-06,13.7,49.1682948,-125.9495351
2020-09-07,13.9,49.1682948,-125.9495351
2020-09-08,14.3,49.1682948,-125.9495351
2020-09-09,14.1,49.1682948,-125.9495351
2020-09-10,14.2,49.1682948,-125.9495351
2020-09-11,14.1,49.1682948,-125.9495351
2020-09-12,14.7,49.1682948,-125.9495351
2020-09-13,13.2,49.1682948,-125.9495351
2020-09-14,14.0,49.1682948,-125.9495351
2020-09-15,13.7,49.1682948,-125.9495351
2020-09-16,13.8,49.1682948,-125.9495351
2020-09-17,13.6,49.1682948,-125.9495351
2020-09-18,13.7,49.1682948,-125.9495351
2020-09-19,13.7,49.1682948,-125.9495351
2020-09-20,14.4,49.1682948,-125.9495351
2020-09-21,14.0,49.1682948,-125.9495351
2020-09-22,14.1,49.1682948,-125.9495351
2020-09-23,14.3,49.1682948,-125.9495351
2020-09-24,13.5,49.1682948,-125.9495351
2020-09-25,13.5,49.1682948,-125.9495351
2020-09-26,14.5,49.1682948,-125.9495351
2020-09-27,14.6,49.1682948,-125.9495351
2020-09-28,14.4,49.1682948,-125.9495351
2020-09-29,13.7,49.1682948,-125.9495351
2020-09-30,14.3,49.1682948,-125.9495351
2020-10-01,11.5,49.1682948,-125.9495351
2020-10-02,11.4,49.1682948,-125.9495351
2020-10-03,12.0,49.1682948,-125.9495351
2020-10-04,11.8,49.1682948,-125.9495351
2020-10-05,12.2,49.1682948,-125.9495351
2020-10-06,12.2,49.1682948,-125.9495351
2020-10-07,12.6,49.1682948,-125.9495351
2020-10-08,12.0,49.1682948,-125.9495351
2020-10-09,12.2,49.1682948,-125.9495351
2020-10-10,11.9,49.1682948,-125.9495351
2020-10-11,12.8,49.1682948,-125.9495351
2020-10-12,11.9,49.1682948,-125.9495351
2020-10-13,11.7,49.1682948,-125.9495351
2020-10-14,12.6,49.1682948,-125.9495351
2020-10-15,12.8,49.1682948,-125.9495351
2020-10-16,11.6,49.1682948,-125.9495351
2020-10-17,12.7,49.1682948,-125.9495351
2020-10-18,12.0,49.1682948,-125.9495351
2020-10-19,12.6,49.1682948,-125.9495351
2020-10-20,11.6,49.1682948,-125.9495351
2020-10-21,11.9,49.1682948,-125.9495351
2020-10-22,11.3,49.1682948,-125.9495351
2020-10-23,11.6,49.1682948,-125.9495351
2020-10-24,11.5,49.1682948,-125.9495351
2020-10-25,11.8,49.1682948,-125.9495351
2020-10-26,11.6,49.1682948,-125.9495351
2020-10-27,12.0,49.1682948,-125.9495351
2020-10-28,12.7,49.1682948,-125.9495351
2020-10-29,11.3,49.1682948,-125.9495351
2020-10-30,11.7,49.1682948,-125.9495351
2020-10-31,11.8,49.1682948,-125.9495351
2020-11-01,9.9,49.1682948,-125.9495351
2020-11-02,10.8,49.1682948,-125.9495351
2020-11-03,10.3,49.1682948,-125.9495351
2020-11-04,9.8,49.1682948,-125.9495351
2020-11-05,9.3,49.1682948,-125.9495351
2020-11-06,10.8,49.1682948,-125.9495351
2020-11-07,10.6,49.1682948,-125.9495351
2020-11-08,10.5,49.1682948,-125.9495351
2020-11-09,9.8,49.1682948,-125.9495351
2020-11-10,9.9,49.1682948,-125.9495351
2020-11-11,9.7,49.1682948,-125.9495351
2020-11-12,10.5,49.1682948,-125.9495351
2020-11-13,10.0,49.1682948,-125.9495351
2020-11-14,9.9,49.1682948,-125.9495351
2020-11-15,10.2,49.1682948,-125.9495351
2020-11-16,10.2,49.1682948,-125.9495351
2020-11-17,9.7,49.1682948,-125.9495351
2020-11-18,10.8,49.1682948,-125.9495351
2020-11-19,9.9,49.1682948,-125.9495351
2020-11-20,10.2,49.1682948,-125.9495351
2020-11-21,9.5,49.1682948,-125.9495351
2020-11-22,10.4,49.1682948,-125.9495351
2020-11-23,9.8,49.1682948,-125.9495351
2020-11-24,9.2,49.1682948,-125.9495351
2020-11-25,10.3,49.1682948,-125.9495351
2020-11-26,9.3,49.1682948,-125.9495351
2020-11-27,9.4,49.1682948,-125.9495351
2020-11-28,9.9,49.1682948,-125.9495351
2020-11-29,9.9,49.1682948,-125.9495351
2020-11-30,9.8,49.1682948,-125.9495351
2020-12-01,9.8,49.1682948,-125.9495351
2020-12-02,8.5,49.1682948,-125.9495351
2020-12-03,8.5,49.1682948,-125.9495351
2020-12-04,9.7,49.1682948,-125.9495351
2020-12-05,8.9,49.1682948,-125.9495351
2020-12-06,8.6,49.1682948,-125.9495351
2020-12-07,9.2,49.1682948,-125.9495351
2020-12-08,8.4,49.1682948,-125.9495351
2020-12-09,9.5,49.1682948,-125.9495351
2020-12-10,8.3,49.1682948,-125.9495351
2020-12-11,9.1,49.1682948,-125.9495351
2020-12-12,8.5,49.1682948,-125.9495351
2020-12-13,8.9,49.1682948,-125.9495351
2020-12-14,8.8,49.1682948,-125.9495351
2020-12-15,9.2,49.1682948,-125.9495351
2020-12-16,9.0,49.1682948,-125.9495351
2020-12-17,9.6,49.1682948,-125.9495351
2020-12-18,8.8,49.1682948,-125.9495351
2020-12-19,8.8,49.1682948,-125.9495351
2020-12-20,9.0,49.1682948,-125.9495351
2020-12-21,9.1,49.1682948,-125.9495351
2020-12-22,9.3,49.1682948,-125.9495351
2020-12-23,9.0,49.1682948,-125.9495351
2020-12-24,9.5,49.1682948,-125.9495351
2020-12-25,8.5,49.1682948,-125.9495351
2020-12-26,9.8,49.1682948,-125.9495351
2020-12-27,9.3,49.1682948,-125.9495351
2020-12-28,9.3,49.1682948,-125.9495351
2020-12-29,9.7,49.1682948,-125.9495351
2020-12-30,8.3,49.1682948,-125.9495351
2020-12-31,8.5,49.1682948,-125.9495351
2021-01-01,7.7,49.1682948,-125.9495351
2021-01-02,8.6,49.1682948,-125.9495351
2021-01-03,7.5,49.1682948,-125.9495351
2021-01-04,7.7,49.1682948,-125.9495351
2021-01-05,8.6,49.1682948,-125.9495351
2021-01-06,7.9,49.1682948,-125.9495351
2021-01-07,7.9,49.1682948,-125.9495351
2021-01-08,8.7,49.1682948,-125.9495351
2021-01-09,8.4,49.1682948,-125.9495351
2021-01-10,7.3,49.1682948,-125.9495351
2021-01-11,8.3,49.1682948,-125.9495351
2021-01-12,8.1,49.1682948,-125.9495351
2021-01-13,8.4,49.1682948,-125.9495351
2021-01-14,7.4,49.1682948,-125.9495351
2021-01-15,8.3,49.1682948,-125.9495351
2021-01-16,8.3,49.1682948,-125.9495351
2021-01-17,8.3,49.1682948,-125.9495351
2021-01-18,7.5,49.1682948,-125.9495351
2021-01-19,8.5,49.1682948,-125.9495351
2021-01-20,7.4,49.1682948,-125.9495351
2021-01-21,7.5,49.1682948,-125.9495351
2021-01-22,7.4,49.1682948,-125.9495351
2021-01-23,8.6,49.1682948,-125.9495351
2021-01-24,8.8,49.1682948,-125.9495351
2021-01-25,7.7,49.1682948,-125.9495351
2021-01-26,8.5,49.1682948,-125.9495351
2021-01-27,8.6,49.1682948,-125.9495351
2021-01-28,7.5,49.1682948,-125.9495351
2021-01-29,8.5,49.1682948,-125.9495351
2021-01-30,8.7,49.1682948,-125.9495351
2021-01-31,7.3,49.1682948,-125.9495351
2021-02-01,7.2,49.1682948,-125.9495351
2021-02-02,7.5,49.1682948,-125.9495351
2021-02-03,7.4,49.1682948,-125.9495351
2021-02-04,7.9,49.1682948,-125.9495351
2021-02-05,8.7,49.1682948,-125.9495351
2021-02-06,8.5,49.1682948,-125.9495351
2021-02-07,8.0,49.1682948,-125.9495351
2021-02-08,8.3,49.1682948,-125.9495351
2021-02-09,7.5,49.1682948,-125.9495351
2021-02-10,7.3,49.1682948,-125.9495351
2021-02-11,8.3,49.1682948,-125.9495351
2021-02-12,8.7,49.1682948,-125.9495351
2021-02-13,8.1,49.1682948,-125.9495351
2021-02-14,8.4,49.1682948,-125.9495351
2021-02-15,8.0,49.1682948,-125.9495351
2021-02-16,8.3,49.1682948,-125.9495351
2021-02-17,7.8,49.1682948,-125.9495351
2021-02-18,8.2,49.1682948,-125.9495351
2021-02-19,8.6,49.1682948,-125.9495351
2021-02-20,8.2,49.1682948,-125.9495351
2021-02-21,7.6,49.1682948,-125.9495351
2021-02-22,8.0,49.1682948,-125.9495351
2021-02-23,7.3,49.1682948,-125.9495351
2021-02-24,8.3,49.1682948,-125.9495351
2021-02-25,8.6,49.1682948,-125.9495351
2021-02-26,8.4,49.1682948,-125.9495351
2021-02-27,7.8,49.1682948,-125.9495351
2021-02-28,7.6,49.1682948,-125.9495351
2021-03-01,8.3,49.1682948,-125.9495351
2021-03-02,9.3,49.1682948,-125.9495351
2021-03-03,9.7,49.1682948,-125.9495351
2021-03-04,9.3,49.1682948,-125.9495351
2021-03-05,8.8,49.1682948,-125.9495351
2021-03-06,9.1,49.1682948,-125.9495351
2021-03-07,8.6,49.1682948,-125.9495351
2021-03-08,8.8,49.1682948,-125.9495351
2021-03-09,9.3,49.1682948,-125.9495351
2021-03-10,8.3,49.1682948,-125.9495351
2021-03-11,8.5,49.1682948,-125.9495351
2021-03-12,9.5,49.1682948,-125.9495351
2021-03-13,8.8,49.1682948,-125.9495351
2021-03-14,8.4,49.1682948,-125.9495351
2021-03-15,8.8,49.1682948,-125.9495351
2021-03-16,9.8,49.1682948,-125.9495351
2021-03-17,9.6,49.1682948,-125.9495351
2021-03-18,8.9,49.1682948,-125.9495351
2021-03-19,8.7,49.1682948,-125.9495351
2021-03-20,8.4,49.1682948,-125.9495351
2021-03-21,8.5,49.1682948,-125.9495351
2021-03-22,8.7,49.1682948,-125.9495351
2021-03-23,8.3,49.1682948,-125.9495351
2021-03-24,8.4,49.1682948,-125.9495351
2021-03-25,8.8,49.1682948,-125.9495351
2021-03-26,8.6,49.1682948,-125.9495351
2021-03-27,9.6,49.1682948,-125.9495351
2021-03-28,9.2,49.1682948,-125.9495351
2021-03-29,9.2,49.1682948,-125.9495351
2021-03-30,8.5,49.1682948,-125.9495351
2021-03-31,8.4,49.1682948,-125.9495351
2021-04-01,9.5,49.1682948,-125.9495351
2021-04-02,10.2,49.1682948,-125.9495351
2021-04-03,10.1,49.1682948,-125.9495351
2021-04-04,10.1,49.1682948,-125.9495351
2021-04-05,9.4,49.1682948,-125.9495351
2021-04-06,10.2,49.1682948,-125.9495351
2021-04-07,10.0,49.1682948,-125.9495351
2021-04-08,10.2,49.1682948,-125.9495351
2021-04-09,10.8,49.1682948,-125.9495351
2021-04-10,10.7,49.1682948,-125.9495351
2021-04-11,9.5,49.1682948,-125.9495351
2021-04-12,9.5,49.1682948,-125.9495351
2021-04-13,10.3,49.1682948,-125.9495351
2021-04-14,10.5,49.1682948,-125.9495351
2021-04-15,9.7,49.1682948,-125.9495351
2021-04-16,9.4,49.1682948,-125.9495351
2021-04-17,9.3,49.1682948,-125.9495351
2021-04-18,10.1,49.1682948,-125.9495351
2021-04-19,10.5,49.1682948,-125.9495351
2021-04-20,9.7,49.1682948,-125.9495351
2021-04-21,9.6,49.1682948,-125.9495351
2021-04-22,10.1,49.1682948,-125.9495351
2021-04-23,10.4,49.1682948,-125.9495351
2021-04-24,10.3,49.1682948,-125.9495351
2021-04-25,9.5,49.1682948,-125.9495351
2021-04-26,10.1,49.1682948,-125.9495351
2021-04-27,10.3,49.1682948,-125.9495351
2021-04-28,10.1,49.1682948,-125.9495351
2021-04-29,10.4,49.1682948,-125.9495351
2021-04-30,9.9,49.1682948,-125.9495351
2021-05-01,11.8,49.1682948,-125.9495351
2021-05-02,10.4,49.1682948,-125.9495351
2021-05-03,10.4,49.1682948,-125.9495351
2021-05-04,11.3,49.1682948,-125.9495351
2021-05-05,11.8,49.1682948,-125.9495351
2021-05-06,10.4,49.1682948,-125.9495351
2021-05-07,10.2,49.1682948,-125.9495351
2021-05-08,11.4,49.1682948,-125.9495351
2021-05-09,11.8,49.1682948,-125.9495351
2021-05-10,10.5,49.1682948,-125.9495351
2021-05-11,10.7,49.1682948,-125.9495351
2021-05-12,10.7,49.1682948,-125.9495351
2021-05-13,11.2,49.1682948,-125.9495351
2021-05-14,11.4,49.1682948,-125.9495351
2021-05-15,11.3,49.1682948,-125.9495351
2021-05-16,10.4,49.1682948,-125.9495351
2021-05-17,11.1,49.1682948,-125.9495351
2021-05-18,10.6,49.1682948,-125.9495351
2021-05-19,10.8,49.1682948,-125.9495351
2021-05-20,10.3,49.1682948,-125.9495351
2021-05-21,11.1,49.1682948,-125.9495351
2021-05-22,10.5,49.1682948,-125.9495351
2021-05-23,11.5,49.1682948,-125.9495351
2021-05-24,10.4,49.1682948,-125.9495351
2021-05-25,11.8,49.1682948,-125.9495351
2021-05-26,11.3,49.1682948,-125.9495351
2021-05-27,10.6,49.1682948,-125.9495351
2021-05-28,11.5,49.1682948,-125.9495351
2021-05-29,11.6,49.1682948,-125.9495351
2021-05-30,11.6,49.1682948,-125.9495351
2021-05-31,10.7,49.1682948,-125.9495351
2021-06-01,13.6,49.1682948,-125.9495351
2021-06-02,13.5,49.1682948,-125.9495351
2021-06-03,12.6,49.1682948,-125.9495351
2021-06-04,12.6,49.1682948,-125.9495351
2021-06-05,13.3,49.1682948,-125.9495351
2021-06-06,13.1,49.1682948,-125.9495351
2021-06-07,13.1,49.1682948,-125.9495351
2021-06-08,13.7,49.1682948,-125.9495351
2021-06-09,13.4,49.1682948,-125.9495351
2021-06-10,13.3,49.1682948,-125.9495351
2021-06-11,12.3,49.1682948,-125.9495351
2021-06-12,12.8,49.1682948,-125.9495351
2021-06-13,13.5,49.1682948,-125.9495351
2021-06-14,12.5,49.1682948,-125.9495351
2021-06-15,13.4,49.1682948,-125.9495351
2021-06-16,12.3,49.1682948,-125.9495351
2021-06-17,13.4,49.1682948,-125.9495351
2021-06-18,13.1,49.1682948,-125.9495351
2021-06-19,13.8,49.1682948,-125.9495351
2021-06-20,12.3,49.1682948,-125.9495351
2021-06-21,13.2,49.1682948,-125.9495351
2021-06-22,13.7,49.1682948,-125.9495351
2021-06-23,13.2,49.1682948,-125.9495351
2021-06-24,12.8,49.1682948,-125.9495351
2021-06-25,12.6,49.1682948,-125.9495351
2021-06-26,13.7,49.1682948,-125.9495351
2021-06-27,12.7,49.1682948,-125.9495351
2021-06-28,13.4,49.1682948,-125.9495351
2021-06-29,12.7,49.1682948,-125.9495351
